id;url_photo;url_photo_content_type;archivated;authorizing_officer_id
1;../fake-data/blob/hipster.png;image/png;true;1
2;../fake-data/blob/hipster.png;image/png;false;2
3;../fake-data/blob/hipster.png;image/png;true;3
4;../fake-data/blob/hipster.png;image/png;true;4
5;../fake-data/blob/hipster.png;image/png;true;5
6;../fake-data/blob/hipster.png;image/png;true;6
7;../fake-data/blob/hipster.png;image/png;true;7
8;../fake-data/blob/hipster.png;image/png;true;8
9;../fake-data/blob/hipster.png;image/png;true;9
10;../fake-data/blob/hipster.png;image/png;true;10
